id,handle,sku,name,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,supplier_name,active
6aa4ba0b-45ae-282f-923b-d444cbb1ae27,HarvardLadiesFlannelPajamaPant,11563,Harvard Ladies' Flannel PJ Shorts,Color,Crimson,Size,L,,,Concepts Sport,1
9e48c696-61c0-520c-c4b6-36faa0883783,HarvardLadiesFlannelPajamaPant,11562,Harvard Ladies' Flannel PJ Shorts,Color,Crimson,Size,M,,,Concepts Sport,1
f7c8fbc8-b316-40bc-3eab-78c4d26458b0,HarvardLadiesFlannelPajamaPant,11576,Harvard Ladies' Flannel PJ Shorts,Color,Gray,Size,L,,,Concepts Sport,1
d0a01d0d-a097-49bb-9fd9-fa782b06fa07,harvardhcanvastotebag,11284,Harvard H Canvas Tote Bag,Color,Crimson,,,,,Apparel Empire,1
d41c2f53-9962-11e2-b1f5-4040782fde00,side-chair,SideChairWithoutPersona,Side Chair,Title,Without Personalization,Shield,Harvard Graduate School of Public Health,,,Standard Chair,1
d77775dd-9962-11e2-b1f5-4040782fde00,side-chair,SideChairWithPersonaliz,Side Chair,Title,With Personalization,Shield,Harvard Graduate School of Public Health,,,Standard Chair,1
d82df742-6c43-11e2-b1f5-4040782fde00,KSGFrameEx-EdFrame,2311,KSG Frame Ex-Ed Frame,,,,,,,University Frames,1
d94c6c7d-8e27-9232-44eb-84967290b8a3,LargeHarvardTeddyBear,11409,Large Harvard Teddy Bear,Color,Brown,,,,,T-Shirt Bears,1
1eb6b17f-48c3-0022-821f-777fb54c45f6,LargeHarvardTeddyBear,11410,Large Harvard Teddy Bear,Color,Honey,,,,,T-Shirt Bears,1
d97ecba8-2615-c0fe-acb9-0a2a109eb9e2,Harvard16ozVacuumTumblr,11342,Harvard 16oz. Vacuum Tumbler,Color,Crimson,,,,,LXG,1
db7052e3-7e1a-11e3-a0f5-b8ca3a64f8f4,HarvardKnitGloves,10260,Harvard Knit Gloves,,,Color,Crimson,,,Legacy,0
dc253d4d-f5dd-036e-d30b-80f86d247c38,HarvardCrestPuffVest,889662103249,Harvard Crest Puff Vest,Color,Crimson,Size,S,,,Colosseum,1
06bd64da-d83d-11e8-f71b-8c21336fc8be,HarvardCrestPuffVest,889662103256,Harvard Crest Puff Vest,Color,Crimson,Size,M,,,Colosseum,1
06bd64da-d83d-11e8-f71b-8c2136c1ddd8,HarvardCrestPuffVest,889662103263,Harvard Crest Puff Vest,Color,Crimson,Size,L,,,Colosseum,1
06bd64da-d83d-11e8-f71b-8c2139d60fc3,HarvardCrestPuffVest,889662103270,Harvard Crest Puff Vest,Color,Crimson,Size,XL,,,Colosseum,1
